ABTH,velvetleaf,Abutilon theophrasti,Malvaceae,ML,LI,H,ML,HL,
ACGI,Amur maple,Acer ginnala,Aceraceae,MI,MI,L,ML,U,
ACPL,Norway maple,Acer platanoides,Aceraceae,HM,M,HM,HM,ML,
AIAL,tree of heaven,Ailanthus altissima,Simaroubaceae,M,ML,H,ML,ML,
ALGL2,European alder,Alnus glutinosa,Betulaceae,HM,H,HM,HL,U,
ALJU,silktree,Albizia julibrissin,Fabaceae,ML,ML,H,ML,ML,
ALPE4,garlic mustard,Alliaria petiolata,Brassicaceae,HM,ML,H,HM,M,
ALPH,alligatorweed,Alternanthera philoxeroides,Amaranthaceae,M,HM,L,ML,M,
ALSE4,sessile joyweed,Alternanthera sessilis,Amaranthaceae,LI,LI,L,HL,MI,
AMBR7,Amur peppervine,Ampelopsis brevipedunculata,Vitaceae,ML,ML,M,HL,HM,
ARDO4,giant reed,Arundo donax,Poaceae,H,H,HM,HM,L,
ARHI3,small carpgrass,Arthraxon hispidus,Poaceae,ML,ML,M,HL,MI,
ARMI2,lesser burdock,Arctium minus,Asteraceae,MI,LI,M,HL,MI,
BAHA,eastern baccharis,Baccharis halimifolia,Asteraceae,,,,,,No I-Rank available as of 1/7/2020
BASC5,burningbush, Mexican fireweed,Bassia scoparia,Chenopodiaceae,L,LI,M,ML,HM,
BEIN2,hoary alyssum,Berteroa incana,Brassicaceae,LI,I,M,ML,LI,
BETH,Japanese barberry,Berberis thunbergii,Berberidaceae,HM,HM,H,ML,I,
BOBL,Caucasian bluestem, Australian bluestem,Bothriochloa bladhii,Poaceae,,,,,,No I-Rank available as of 1/7/2020
BOIS,yellow bluestem, King Ranch bluestem,Bothriochloa ischaemum,Poaceae,,,,,,No I-Rank available as of 1/7/2020
BRAR5,field brome,Bromus arvensis,Poaceae,,,,,,No I-Rank available as of 1/7/2020
BRIN2,smooth brome,Bromus inermis,Poaceae,M,M,H,ML,ML,
BROM-H,annual brome sp. (NOT B. inermis),Bromus,Poaceae,M,M,HM,ML,ML,Genus I-Rank average of available species I-Ranks
BRRA2,bald brome, spiked brome,Bromus racemosus,Poaceae,,,,,,No I-Rank available as of 1/7/2020
BRST2,poverty brome,Bromus sterilis,Poaceae,ML,ML,M,U,U,
BRTE,cheatgrass,Bromus tectorum,Poaceae,H,H,HM,M,HM,
BUUM,flowering rush,Butomus umbellatus,Butomaceae,ML,L,M,HM,LI,
CAAC,spiny plumeless thistle,Carduus acanthoides,Asteraceae,ML,MI,M,HM,,
CAAR18,Siberian peashrub,Caragana arborescens,Fabaceae,HL,HL,ML,ML,U,
CADR,whitetop,Cardaria draba,Brassicaceae,,,,,,No I-Rank available as of 1/7/2020
CANU4,nodding plumeless thistle,Carduus nutans,Asteraceae,HL,MI,HM,HM,HM,
CASE13,hedge false bindweed,Calystegia sepium,Convolvulaceae,,,,,,No I-Rank available as of 1/7/2020
CELTI,hackberry sp.,Celtis,Ulmaceae,,,,,,No I-Rank available as of 1/7/2020
CEOR7,Oriental bittersweet,Celastrus orbiculatus,Celastraceae,HM,ML,H,HL,M,
CESO3,yellow star-thistle,Centaurea solstitialis,Asteraceae,HM,HM,H,HM,HM,
CESTM,spotted knapweed,Centaurea stoebe ssp. micranthos,Asteraceae,HM,M,H,HM,HL,
CHAL7,lambsquarters,Chenopodium album,Chenopodiaceae,,,,,,No I-Rank available as of 1/7/2020
CIAR4,Canada thistle,Cirsium arvense,Asteraceae,HM,ML,H,ML,HM,
CIRSI,thistle sp.,Cirsium,Asteraceae,M,ML,H,ML,M,Genus I-Rank average of available species I-Ranks
CIVU,bull thistle,Cirsium vulgare,Asteraceae,ML,ML,HM,ML,ML,
CLTE4,sweet autumn virginsbower,Clematis terniflora,Ranunculaceae,,,,,,No I-Rank available as of 1/7/2020
COFO,stiff dogwood,Cornus foemina,Cornaceae,,,,,,No I-Rank available as of 1/7/2020
COMA2,poison hemlock,Conium maculatum,Apiaceae,ML,L,HM,ML,LI,
CYDA,Bermudagrass,Cynodon dactylon,Poaceae,ML,ML,M,ML,HM,
CYLO11,Louise's swallow-wort,Cynanchum louiseae,Asclepiadaceae,H,HM,H,M,H,
CYOF,gypsyflower,Cynoglossum officinale,Boraginaceae,ML,LI,H,ML,ML,
CYRO8,European swallow-wort,Cynanchum rossicum,Asclepiadaceae,HM,HM,ML,M,HL,
DACA6,Queen Anne's lace,Daucus carota,Apiaceae,L,I,H,L,I,
DAST,jimsonweed,Datura stramonium,Solanaceae,HL,ML,HM,U,U,
DIFU2,Fuller's teasel,Dipsacus fullonum,Dipsacaceae,ML,L,HM,HM,ML,
DILA3,Grecian foxglove,Digitalis lanata,Scrophulariaceae,,,,,,No I-Rank available as of 1/7/2020
DILA4,cutleaf teasel,Dipsacus laciniatus,Dipsacaceae,ML,L,M,HM,ML,
DIOP,Chinese yam,Dioscorea oppositifolia,Dioscoreaceae,HL,ML,HM,U,MI,
ECCR,barnyardgrass,Echinochloa crus-galli,Poaceae,MI,LI,M,HL,U,
EGDE,Brazilian waterweed,Egeria densa,Hydrocharitaceae,HM,HM,H,HL,HM,
EICR,common water hyacinth,Eichhornia crassipes,Pontederiaceae,H,HM,H,HM,H,
ELAEA,elaeagnus sp.,Elaeagnus,Elaeagnaceae,H,H,H,HM,H,
ELAE-H,Russian/autumn olive complex,Elaeagnus umbellata/angustifolia,Elaeagnaceae,H,M,H,M,H,Species-group I-Rank average of species I-Ranks
ELAN,Russian olive,Elaeagnus angustifolia,Elaeagnaceae,H,HM,H,HM,H,
ELPU2,thorny olive,Elaeagnus pungens,Elaeagnaceae,LI,LI,L,HL,HL,
ELRE4,quackgrass,Elymus repens,Poaceae,HM,ML,H,ML,HM,
ELUM,autumn olive,Elaeagnus umbellata,Elaeagnaceae,H,H,H,HM,L,
ERCU2,weeping lovegrass,Eragrostis curvula,Poaceae,ML,ML,M,ML,HL,
EUAL13,burningbush, winged euonymus,Euonymus alatus,Celastraceae,MI,LI,M,HL,L,
EUAT5,burningbush,Euonymus atropurpureus,Celastraceae,,,,,,No I-Rank available as of 1/7/2020
EUCY2,cypress spurge,Euphorbia cyparissias,Euphorbiaceae,ML,ML,ML,HL,HM,
EUES,leafy spurge,Euphorbia esula,Euphorbiaceae,HM,M,H,HL,H,
EUFO5,winter creeper,Euonymus fortunei,Celastraceae,M,M,H,ML,LI,
FRAL4,glossy buckthorn,Frangula alnus,Rhamnaceae,HM,HL,H,M,M,
GLHE2,ground ivy,Glechoma hederacea,Lamiaceae,MI,MI,M,MI,U,
HEFU,orange daylily,Hemerocallis fulva,Liliaceae,ML,MI,M,HL,L,
HEHE,English ivy,Hedera helix,Araliaceae,HM,M,H,HM,ML,
HEMA3,dames rocket,Hesperis matronalis,Brassicaceae,ML,MI,HM,ML,HL,
